GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kanban,br.com.crudao.kanban.security,UsuarioProvisioningService,0,88,0,8,0,25,0,9,0,5
kanban,br.com.crudao.kanban.security,PermissaoGuard,22,142,7,17,3,34,7,16,2,9
kanban,br.com.crudao.kanban.security,PermissaoAspect,14,79,3,3,3,19,2,4,0,3
kanban,br.com.crudao.kanban.security,UsuarioAtualProvider,5,19,1,1,1,4,1,1,0,1
kanban,br.com.crudao.kanban.security,EscopoProjetoResolver,54,22,0,0,13,9,8,3,8,3
kanban,br.com.crudao.kanban.projeto,ProjetoController,72,9,0,0,12,1,7,1,7,1
kanban,br.com.crudao.kanban.projeto,StatusProjeto,0,15,0,0,0,3,0,1,0,1
kanban,br.com.crudao.kanban.projeto,Projeto,0,8,0,2,0,1,0,2,0,1
kanban,br.com.crudao.kanban.projeto,ProjetoService,0,302,0,18,0,74,0,21,0,12
kanban,br.com.crudao.kanban.projeto,ProjetoMapperImpl,31,53,5,1,8,18,4,2,1,2
kanban,br.com.crudao.kanban.projeto,ChaveToggle,3,49,0,0,1,10,1,3,1,3
kanban,br.com.crudao.kanban.projeto,ProjetoToggle,0,17,0,0,0,5,0,2,0,2
kanban,br.com.crudao.kanban.projeto,ProjetoToggleService,0,133,0,6,0,21,0,11,0,8
kanban,br.com.crudao.kanban.projeto.dto,CriarProjetoRequest,0,9,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.projeto.dto,PermissoesEfetivasResponse,0,21,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.projeto.dto,AtualizarProjetoRequest,0,9,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.projeto.dto,ProjetoResponse,0,24,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.projeto.dto,AtualizarTogglesRequest,6,0,0,0,1,0,1,0,1,0
kanban,br.com.crudao.kanban.board,BoardQueryService,61,268,17,17,10,64,17,9,2,7
kanban,br.com.crudao.kanban.board,BoardController,0,6,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.board,BoardSnapshotResponse,0,27,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.raia,RaiaController,36,20,0,0,5,4,4,1,4,1
kanban,br.com.crudao.kanban.raia,RaiaService,0,183,2,12,0,45,2,14,0,9
kanban,br.com.crudao.kanban.raia,RaiaMapperImpl,4,62,2,4,2,18,2,4,0,3
kanban,br.com.crudao.kanban.workflow.dto,TransicaoResponse,0,12,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.workflow.dto,EtapaResponse,0,15,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.workflow.dto,CriarTransicaoRequest,9,0,0,0,1,0,1,0,1,0
kanban,br.com.crudao.kanban.workflow.dto,WorkflowResponse,15,0,0,0,1,0,1,0,1,0
kanban,br.com.crudao.kanban.workflow.dto,CriarEtapaRequest,0,9,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.workflow.dto,CriarWorkflowRequest,0,6,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.workflow.dto,ReordenarEtapasRequest,6,0,0,0,1,0,1,0,1,0
kanban,br.com.crudao.kanban.leadtime.dto,LeadTimeDetalhe,0,9,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.leadtime.dto,LeadTimeMedioEtapaResponse,0,21,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.leadtime.dto,DashboardResponse,0,18,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.leadtime.dto,LeadTimeEtapaResponse,0,15,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.leadtime,PeriodoImpedimento,3,8,1,1,0,1,1,1,0,1
kanban,br.com.crudao.kanban.leadtime,LeadTimeService,6,260,0,10,0,70,1,15,1,10
kanban,br.com.crudao.kanban.leadtime,DashboardService,28,164,8,14,3,33,9,6,1,3
kanban,br.com.crudao.kanban.leadtime,PeriodoEtapa,0,11,0,2,0,1,0,2,0,1
kanban,br.com.crudao.kanban.leadtime,DashboardController,0,8,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.notificacao,TipoNotificacao,0,21,0,0,0,4,0,1,0,1
kanban,br.com.crudao.kanban.notificacao,NotificacaoController,10,13,0,0,2,4,1,1,1,1
kanban,br.com.crudao.kanban.notificacao,NotificacaoService,0,168,0,13,0,39,0,13,0,6
kanban,br.com.crudao.kanban.evento,EventoBoardPublisher,0,5,0,0,0,2,0,1,0,1
kanban,br.com.crudao.kanban.evento,TipoEventoBoard,0,51,0,0,0,9,0,1,0,1
kanban,br.com.crudao.kanban.evento,EventoBoard,0,89,0,0,0,6,0,5,0,5
kanban,br.com.crudao.kanban.workflow,TransicaoService,0,144,1,11,0,41,1,12,0,7
kanban,br.com.crudao.kanban.workflow,WorkflowController,135,9,0,0,24,2,11,1,11,1
kanban,br.com.crudao.kanban.workflow,WorkflowService,0,191,0,12,0,40,0,14,0,8
kanban,br.com.crudao.kanban.workflow,EtapaService,0,430,3,35,0,92,3,30,0,14
kanban,br.com.crudao.kanban.workflow,WorkflowMapperImpl,71,115,10,8,23,33,9,7,2,5
kanban,br.com.crudao.kanban.tarefa,TarefaMapperImpl,24,309,29,11,3,107,20,4,0,4
kanban,br.com.crudao.kanban.tarefa,TarefaController,62,86,0,0,10,14,5,7,5,7
kanban,br.com.crudao.kanban.tarefa,TarefaObservador,0,13,0,0,0,4,0,1,0,1
kanban,br.com.crudao.kanban.tarefa,TipoTarefa,0,27,0,0,0,5,0,1,0,1
kanban,br.com.crudao.kanban.tarefa,OrigemObservacao,0,21,0,0,0,4,0,1,0,1
kanban,br.com.crudao.kanban.tarefa,TarefaRepositoryCustom.AgregadoEtapa,0,15,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.tarefa,TarefaService,48,1029,16,90,8,263,21,65,5,28
kanban,br.com.crudao.kanban.tarefa,PrioridadeTarefa,0,27,0,0,0,5,0,1,0,1
kanban,br.com.crudao.kanban.tarefa,TarefaRepositoryImpl,5,60,2,2,2,14,2,3,0,3
kanban,br.com.crudao.kanban.rbac.dto,UsuarioResponse,15,0,0,0,1,0,1,0,1,0
kanban,br.com.crudao.kanban.rbac.dto,MembroProjetoResponse,0,15,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.rbac.dto,AssociarPapelRequest,0,9,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban.rbac.dto,PapelResponse,0,15,0,0,0,1,0,1,0,1
kanban,br.com.crudao.kanban,KanbanApplication,5,3,0,0,2,1,1,1,1,1
kanban,br.com.crudao.kanban.config,SecurityConfig,0,121,0,0,0,29,0,7,0,7
kanban,br.com.crudao.kanban.config,WebSocketConfig,0,39,0,0,0,6,0,3,0,3
kanban,br.com.crudao.kanban.config,JacksonConfig,0,15,0,0,0,2,0,3,0,3
kanban,br.com.crudao.kanban.notificacao.dto,NotificacaoResponse,0,42,0,0,0,9,0,2,0,2
